BANKNAME,IFSC,MICR_CODE,BRANCH,ADDRESS,CONTACT1,CENTRE,DISTRICT,STATE
"NORTH MALABAR GRAMIN BANK",NMGB0000002,670460011,CHALA,"NORTH MALABAR GRAMIN BANK, CHALA BRANCH, P O CHALA EAST - 670 621, KANNUR DISTRICT, KERALA, PH: 0497-2820733",9400069002,CHALA,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000003,670460801,KOLASSERY,"NORTH MALABAR GRAMIN BANK, KOLASSERY BRANCH, P O KOLASSERY- 670 601, KANNUR DISTRICT, KERALA, PH: 0498- 240550",9400069003,KOLLASSERRY,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000004,670460203,KARTIKULAM,"NORTH MALABAR GRAMIN BANK, KARTIKULAM , P O KARTIKULAM - 670 646, WAYANAD DISTRICT, KERALA, PH: 04935-250441",9400069004,KARTIKULAM,WAYANAD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000005,670460802,PERIYA,"NORTH MALABAR GRAMIN BANK, PERIYA , P O PERIYA- 670 645, WAYANAD DISTRICT, KERALA, PH: 04935-260070",9400069005,PERIYA,WAYANAD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000006,671460801,NARKILAKAD,"NORTH MALABAR GRAMIN BANK, NARKILAKAD BRANCH, P O KOTTAMALA- 671 314, KASARAGOD DISTRICT, KERALA , PH: 04997-241348",9400069006,"ELERI WEST",KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000007,670460803,VENGAD,"NORTH MALABAR GRAMIN BANK, VENGAD BRANCH, P O VENGAD- 670 612, KANNUR DISTRICT, KERALA, PH: 0490-2308572 ",9400069007,VENGAD,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000008,670460153,RAMANTHALI,"NORTH MALABAR GRAMIN BANK, RAMANTHALI BRANCH, P O RAMANTHALI- 670 308, KANNUR DISTRICT, KERALA, PH: 04985-222548",9400069008,RAMANTHALI,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000009,670460154,MATHIL,"NORTH MALABAR GRAMIN BANK, MATHIL BRANCH, P O MATHIL- 670 343, KANNUR DISTRICT, KERALA, PH: 04985-280520",9400069009,MATHIL,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000010,670460804,KUDIYANMALA,"NORTH MALABAR GRAMIN BANK, KUDIYANMALA BRANCH, PO KUDIYANMALA, KANNUR DIST, KERALA, PIN: 670 582, PH: 04602 - 218102",9400069010,KUDIYANMALA,CANNUR,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000011,670460204,VELLAMUNDA,"NORTH MALABAR GRAMIN BANK, VELLAMUNDA , P O KATTAYAD- 670 731, WAYANAD DISTRICT, KERALA, PH: 04935-230331",9400069011,VELLAMUNDA,WAYANAD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000012,671460004,"MOGRAL PUTHUR","NORTH MALABAR GRAMIN BANK, MOGRAL PUTHUR BRANCH, P O MOGRAL PUTHUR - 671 124, KASARAGOD DISTRICT, KERALA, PH: 04994-233457 ",9400069012,KASARAGOD,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000013,671460802,JAYANAGARA,"NORTH MALABAR GRAMIN BANK, JAYANAGARA BRANCH, P O KUMBDAJE - 671 551, KASARAGOD DISTRICT, KERALA , PH: 04998- 260206",9400069013,KUMBDAJE,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000014,670460155,UDINUR,"NORTH MALABAR GRAMIN BANK, UDINUR BRANCH, P O EDACHAKAI- 671 310, KASARAGOD DISTRICT, KERALA , PH: 04997-211250",9400069014,"TRIKKARIPPUR NORTH",KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000015,671460803,PERMUDE,"NORTH MALABAR GRAMIN BANK, PERMUDE BRANCH, P O PERMUDE- 671 324, KASARAGOD DISTRICT, KERALA , PH: 04998-245205",9400069015,KASARAGOD,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000016,671460804,PANATHADY,"NORTH MALABAR GRAMIN BANK, PANATHADY BRANCH, P O PANATHADY- 671 532, KASARAGOD DISTRICT, KERALA, PH: 04997-228370",9400069016,PANATHADY,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000017,671460005,PUTHIGE,"NORTH MALABAR GRAMIN BANK, PUTHIGE BRANCH, P O EDANAD- 671 321, KASARAGOD DISTRICT, KERALA, PH: 04998-245224",9400069017,EDNAD,KASARAGOD,KERALA
"NORTH MALABAR GRAMIN BANK",NMGB0000018,670460805,PAYYAVUR,"NORTH MALABAR GRAMIN BANK, PAYYAVOOR BRANCH, P O PAYYAVOOR- 670 633, KANNUR DISTRICT, KERALA, PH: 04602-210143",9400069018,PAYYAVOOR,CANNUR,KERALA
