BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000053,415349002,RAJWADA,"37, BHAVANI PETH, NEAR RAJWADA BUS STOP, DIST.-SATARA, PIN-415002.",282292,SATARA,SATARA,MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000051,415349001,"SADAR BAZAR","CHAVAN COMPLEX, NEAR COLLECTOR OFFICE, SADAR BAZAR, DIST.-SATARA, PIN-415001.",229033,SATARA,SATARA,MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000016,400349016,NERUL,"SHOP NO.1 TO 4, SHRI DATTAVAIBHAV APARTMENT, PLOT NO-B/11, SECTOR-20, NERUL (W), NAVI MUMBAI-400706.",27707100,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000015,400349015,BANDRA,"3/5, THE BACKWARD SARVODAYA CO-OP.HSG.SOC.LTD. AMRUTNAGAR, KHERWADI, BANDRA (E), MUMBAI-400051.",26472089,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000014,400349014,"MIRA ROAD","SHOP NO-7,8, BLDG NO-A/6, SHANTI NAGAR, SECTOR-1, MIRA ROAD (E), THANE-401107.",28555470,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000013,400349013,THANE,"SHOP NO-4,5,6, MANAS RESIDENCY, NEAR THREE PETROL PUMP, THANE (W), PIN-400602.",25341025,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000012,400349012,KAMOTE,"SHOP NO.5&6, VRUNDAVAN PARK, PLOT NO-9, SECTOR-34, KAMOTHE, NAVI MUMBAI-410209.",27430283,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000011,400349011,"LOWER PAREL","MANIKA SOCIETY, SUN MILL COMPUND LANE, S.J.MARG, LOWER PAREL, MUMBAI-400013.",24932379,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000010,400349010,"PUMP HOUSE","SHOP NO-2, AMBIKA TOWER, RAJMATA JIJABAI ROAD, PUMP HOUSE, ANDHERI (E), MUMBAI-400093.",28390299,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000009,400349009,GHATKOPER,"REKHA APARTMENT, PLOT NO-B/1, AMRUT NAGER, GHATKOPER (W), MUMBAI-400086.",25001615,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000008,400349008,VASHI,"C/1, PHASE -2, A.P.M C.MARKET NO-1, SECTOR -19, VASHI, NAVI MUMBAI-400703.",27802766,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000007,400349007,SANTACRUZ,"AMERALD APT, VAKOLA MARKET ROAD, SANTACRUZ (EAST), MUMBAI-400055.",26673824,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000006,400349006,KALAMBOLI,"SHIVAM APARTMENT, PLOT NO-12, SECTOR-2 (E),KALAMBOLI, DIST - RAIGAD, PIN-410218.",27423400,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000005,400349005,MALAD,"MONIKA, ARCADE, SUBHAS LANE, DAPTARI ROAD,MALAD (E), MUMBAI-400097.",28838825,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000004,400349004,JOGESHWARI,"PIONEER IND ESTET, SUBHAS LANE, CAVES ROAD, JOGESHWARI (E), MUMBAI-400060.",28215130,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000003,400349003,SAKINAKA,"102,TRADE CORNER,SAKINAKA JUNCTION ANDHERI (E), MUMBAI-400072.",28514241,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000002,400349002,C.P.TANK,"25,SONARIKA APT, NANUBHAI DESAI ROAD, MUMBAI-400004.",23883843,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED",SAHE0000001,400349001,RTGS-HO,"103,TRADE CORNER, SAKINAKA JUNCTION ANDHERI (E). MUMBAI-400072.",28520369,MUMBAI,"GREATER BOMBAY",MAHARASHTRA
