BANK,IFSC,"MICR CODE",BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000002,400105020,FORT,"G-05/M-02, GROUND FLOOR, PROSPECT CHAMBERS, DR.D.N.ROAD, FORT, MUMBAI - 400 001",8108066020,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000003,400105003,VIKHROLI,"PARKSITE COLONY, MUNICIPAL COMPOUND, VIKHROLI (WEST) MUMBAI - 400 079.",8108066003,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000004,400105004,JUHU,"VIDYANIDHI SCHOOL BULDING, JVPD SCHEME, VILE PARLE (WEST), MUMBAI - 400 049.",8108066004,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000005,400105005,SION,"VITHOBA RAKHUMAI MANDIR TRUST BUILDING, SION CIRCLE, SION (WEST) MUMBAI - 400 022.",8108066005,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000006,400105006,BHANDUP,"PLOT NO.- 37, SHRINIVAS, DATAR COLONY, BHANDUP (EAST), MUMBAI - 400 042.",8108066006,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000007,400105007,"MULUND WEST","GOLE BUNGLOW, NETAJI SUBHASH ROAD, MULUND (WEST), MUMBAI - 400 080.",8108066007,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000008,400105008,"GHATKOPAR WEST","SANGHVI SQUARE,1ST FLOOR, M.G. ROAD, GHATKOPAR (WEST), MUMBAI - 400 086.",8108066008,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000010,400105010,SAHAR,"AJIT NAGAR, SAHAR VILLAGE, ANDHERI (EAST), MUMBAI ? 400 069.",8108066010,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000011,400105011,CHEMBUR,"OLD BARAK NO. T-107, SINDHI CAMP, GANDHI BAZAR, CHEMBUR, MUMBAI - 400 074.",8108066011,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000012,400105012,KHAR,"701, KALA KUNJ, LINKING ROAD, NEAR TELEPHONE EXCHANGE, KHAR, MUMBAI - 400 052.",8108066012,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000013,400105013,MALAD,"HEMAL CO-OP.HSG. SOC.LTD, FLAT NO.- B/ 4 & 5, KHARODI P.O., MALAD, MUMBAI - 400 095.",8108066013,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000014,400105014,"ANTOP HILL","A-4, KALPAK ESTATE, SHAIKH MISTRI ROAD, ANTOP HILL, MUMBAI - 400 037.",8108066014,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000015,400105015,"MULUND EAST","AMBIKA CHS. LTD, SHOP NO.-1, 2 & 8, PHADKE ROAD, SAHANI CHOWK, MULUND (EAST), MUMBAI - 400 081.",8108066015,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000016,400105016,"KANNAMWAR NAGAR","34/1 & 185/1, OPP. BLDG.195, NEAR SHOPPING CENTER, KANNAMWAR NAGAR - 2",8108066016,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000017,400105017,ANDHERI,"RATAN NAGAR APARTMENT, FOUR BUNGALOW ROAD, ANDHERI (W), MUMBAI - 400 058.",8108066017,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000018,400105018,"SINDHI SOCIETY","56, PISSIRAM COTTAGE, SINDHI SOCIETY, CHEMBUR, MUMBAI - 400 071.",8108066018,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000019,400105019,SAKINAKA,"UNIT NO.-14, NEELKANTH UDYOG BHAVAN PREMISES CS. LTD., 1ST FLOOR, SAKINAKA JUNCTION, ANDHERI KURLA ROAD, MUMBAI - 400 072.",8108066019,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000020,400105002,DADAR,"108 & 109, ASHISH INDUSTRIAL ESTATE, GOKHALE ROAD (SOUTH), DADAR (WEST), MUMBAI - 400 025.",8108066002,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000021,400105021,"SHIVAJI PARK","SARAWATI MAHAL NO.- 2, JUNCTION OF RANADE & GOKHALE ROAD, SHIVAJI PARK, DADAR (WEST) MUMBAI - 400 028.",8108066021,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000022,400105022,BORIVALI,"DHAVAL APARTMENT, 1ST FLOOR, FACTORY LANE, BORIVALI (WEST), MUMBAI - 400 092.",8108066022,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000023,400105023,PANVEL,"RAHI HOTEL BULDING, NEAR VIRUPAKSH MANDIR, MAHATMA PHULE ROAD",8108066023,PANVEL,RAIGAD,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000024,400105024,THANE,"YASHODHAN CHHATRAPATI SHIVAJI ROAD, DR. AMBEDKAR CHOWK, THANE, MUMBAI - 400 601.",8108066024,THANE,THANE,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000025,400105025,KALBADEVI,"47-51, KALBADEVI ROAD, NEAR PYDHONI POLICE STATION, MUMBAI -400002.",8108066025,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000026,400105026,"GHATKOPAR EAST","JAY GAYATRI APARTMENT, VALLABH BAUG LANE, GHATKOPAR (EAST), MUMBAI - 400 077.",8108066026,MUMBAI,MUMBAI,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000027,400105027,VASHI,"MAHAVIR CENTER PREMISES, PLOT NO. - 77, SECTOR - 17,VASHI NEW MUMBAI - 400 705.",8108066027,"NAVI MUMBAI",THANE,MAHARASHTRA
"JANAKALYAN SAHAKARI BANK LIMITED",JSBL0000028,400105028,"PANVEL EXTN","K. A. BANTHIA HIGH SCHOOL, SECTOR - 18, NEW PANVEL, MUMBAI ? 410 206.",8108066028,PANVEL,RAIGAD,MAHARASHTRA
