S.No,RBI regional office,RBI regional offices under jurisdiction,Data availability
1,New Delhi,,Yes
2,Kanpur,Dehradun,Yes
3,Chandigarh,Shimla,Yes
4,Jammu,Sri Nagar,Yes
5,Jaipur,,Yes
6,Lucknow,,Yes
7,Guwahati,"Aizwal, Shillong, Agartala, Gangtok, Imphal",Yes
8,Patna,Ranchi,Yes
9,Kolkata,,Yes
10,Nagpur,Raipur,Yes
11,Ahmedabad,,Yes
12,Bhopal,,Yes
13,Mumbai,,Yes
14,Belapur,,Yes
15,Bhubaneswar,,Yes
16,Hyderabad,,Yes
17,Bangalore,,Yes
18,Chennai,,Yes
19,Kochi,,Data errors
20,Thiruvanathapuram,,Data errors
21,Panaji,,Not available
